name,weaknesses,resistances
shadow-donphan,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-dragonair,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
shadow-dragonite,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
shadow-drapion,Ground,"Dark, Ghost, Grass, Poison, Psychic"
shadow-dratini,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
shadow-drifblim,"Dark, Electric, Ghost, Ice, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
shadow-drifloon,"Dark, Electric, Ghost, Ice, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
shadow-drilbur,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-drowzee,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-ducklett,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
shadow-dugtrio,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-duosion,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-dusclops,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-dusknoir,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-duskull,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-dwebble,"Rock, Steel, Water","Normal, Poison"
shadow-ekans,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-electabuzz,Ground,"Electric, Flying, Steel"
shadow-electivire,Ground,"Electric, Flying, Steel"
shadow-electrike,Ground,"Electric, Flying, Steel"
shadow-electrode,Ground,"Electric, Flying, Steel"
shadow-empoleon,"Electric, Fighting, Ground","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock, Steel, Water"
shadow-entei,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-excadrill,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
shadow-exeggcute,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
shadow-exeggutor,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
shadow-exploud,Fighting,Ghost
shadow-feraligatr,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-ferroseed,"Fighting, Fire","Dragon, Electric, Fairy, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
shadow-ferrothorn,"Fighting, Fire","Dragon, Electric, Fairy, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
shadow-flaaffy,Ground,"Electric, Flying, Steel"
shadow-flygon,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
shadow-foongus,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-forretress,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
shadow-froslass,"Dark, Fire, Ghost, Rock, Steel","Bug, Fighting, Ice, Normal, Poison"
shadow-gallade,"Fairy, Flying, Ghost","Fighting, Rock"
shadow-garchomp,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
shadow-gardevoir,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
shadow-gastly,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
shadow-gengar,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
shadow-geodude,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-gigalith,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-girafarig,"Bug, Dark","Ghost, Psychic"
shadow-glalie,"Fighting, Fire, Rock, Steel",Ice
shadow-gligar,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
shadow-gliscor,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
shadow-gloom,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-golbat,"Electric, Ice, Psychic, Rock","Bug, Fairy, Fighting, Grass, Ground, Poison"
shadow-golduck,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-golem,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-golett,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
shadow-golurk,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
shadow-gothita,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-gothitelle,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-gothorita,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-granbull,"Poison, Steel","Bug, Dark, Dragon, Fighting"
shadow-graveler,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-grimer,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-grotle,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-groudon,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-growlithe,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-gyarados,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
shadow-hariyama,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-haunter,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
shadow-hippopotas,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-hippowdon,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-hisuian-sneasel,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
shadow-hitmonchan,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-hitmonlee,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-hitmontop,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-ho-oh,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
shadow-honchkrow,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
shadow-hoppip,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
shadow-horsea,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-houndoom,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
shadow-houndour,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
shadow-hypno,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-infernape,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
shadow-ivysaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-jumpluff,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
shadow-kabuto,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
shadow-kabutops,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
shadow-kadabra,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-kakuna,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-kangaskhan,Fighting,Ghost
shadow-kingdra,"Dragon, Fairy","Fire, Steel, Water"
shadow-kirlia,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
shadow-koffing,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-kyogre,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-lairon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-lampent,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
shadow-lapras,"Electric, Fighting, Grass, Rock","Ice, Water"
shadow-larvitar,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-latias,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
shadow-latios,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
shadow-ledian,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
shadow-ledyba,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
shadow-liepard,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-lileep,"Bug, Fighting, Ice, Steel","Electric, Normal"
shadow-litwick,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
shadow-loudred,Fighting,Ghost
shadow-lugia,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
shadow-luxio,Ground,"Electric, Flying, Steel"
shadow-luxray,Ground,"Electric, Flying, Steel"
shadow-machamp,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-machoke,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-machop,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-magikarp,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-magmar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-magmortar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-magnemite,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-magneton,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-magnezone,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-makuhita,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-mamoswine,"Fighting, Fire, Grass, Steel, Water","Electric, Poison"
shadow-manectric,Ground,"Electric, Flying, Steel"
shadow-mareep,Ground,"Electric, Flying, Steel"
shadow-marowak,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-marshtomp,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-mawile,"Fire, Ground","Bug, Dark, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock"
shadow-meganium,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-meowth,Fighting,Ghost
shadow-metagross,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-metang,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-mewtwo,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-mightyena,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-milotic,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-misdreavus,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-mismagius,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-moltres,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
shadow-monferno,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
shadow-mudkip,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-muk,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-murkrow,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
shadow-natu,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
shadow-nidoking,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
shadow-nidoqueen,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
shadow-nidoranfemale,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-nidoranmale,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-nidorina,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-nidorino,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-ninetales,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-nosepass,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-numel,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
shadow-nuzleaf,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
shadow-oddish,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-omanyte,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
shadow-omastar,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
shadow-onix,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-patrat,Fighting,Ghost
shadow-persian,Fighting,Ghost
shadow-phanpy,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-pidgeot,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-pidgeotto,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-pidgey,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-pidove,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-piloswine,"Fighting, Fire, Grass, Steel, Water","Electric, Poison"
shadow-pineco,"Fire, Flying, Rock","Fighting, Grass, Ground"
shadow-pinsir,"Fire, Flying, Rock","Fighting, Grass, Ground"
shadow-piplup,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-politoed,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-poliwag,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-poliwhirl,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-poliwrath,"Electric, Fairy, Flying, Grass, Psychic","Bug, Dark, Fire, Ice, Rock, Steel, Water"
shadow-poochyena,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-porygon-z,Fighting,Ghost
shadow-porygon,Fighting,Ghost
shadow-porygon2,Fighting,Ghost
shadow-prinplup,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-probopass,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-psyduck,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-pupitar,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-purrloin,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-quagsire,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-quilava,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-raikou,Ground,"Electric, Flying, Steel"
shadow-ralts,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
shadow-rampardos,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-raticate,Fighting,Ghost
shadow-rattata,Fighting,Ghost
shadow-regice,"Fighting, Fire, Rock, Steel",Ice
shadow-regigigas,Fighting,Ghost
shadow-regirock,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-registeel,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-reuniclus,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-rhydon,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-rhyhorn,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-rhyperior,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
shadow-roggenrola,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-sableye,Fairy,"Fighting, Normal, Poison, Psychic"
shadow-salamence,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
shadow-sandshrew,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-sandslash,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-sawk,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-sceptile,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-scizor,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
shadow-scyther,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
shadow-seadra,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-sealeo,"Electric, Fighting, Grass, Rock","Ice, Water"
shadow-seedot,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-sharpedo,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
shadow-shelgon,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
shadow-shellder,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-shieldon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-shiftry,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
shadow-shinx,Ground,"Electric, Flying, Steel"
shadow-shuckle,"Rock, Steel, Water","Normal, Poison"
shadow-shuppet,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-skarmory,"Electric, Fire","Bug, Dragon, Fairy, Flying, Grass, Ground, Normal, Poison, Psychic, Steel"
shadow-skiploom,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
shadow-skorupi,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-skuntank,Ground,"Dark, Ghost, Grass, Poison, Psychic"
shadow-slowbro,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
shadow-slowking,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
shadow-slowpoke,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
shadow-sneasel,"Bug, Fairy, Fighting, Fire, Rock, Steel","Dark, Ghost, Ice, Psychic"
shadow-sneasler,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
shadow-snorlax,Fighting,Ghost
shadow-snorunt,"Fighting, Fire, Rock, Steel",Ice
shadow-snover,"Bug, Fighting, Fire, Flying, Poison, Rock, Steel","Electric, Grass, Ground, Water"
shadow-snubbull,"Poison, Steel","Bug, Dark, Dragon, Fighting"
shadow-solosis,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-spheal,"Electric, Fighting, Grass, Rock","Ice, Water"
shadow-spoink,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-squirtle,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-stantler,Fighting,Ghost
shadow-staraptor,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-staravia,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-starly,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-steelix,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
shadow-stunky,Ground,"Dark, Ghost, Grass, Poison, Psychic"
shadow-sudowoodo,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-suicune,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-swampert,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-swanna,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
shadow-swinub,"Fighting, Fire, Grass, Steel, Water","Electric, Poison"
shadow-tangela,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-tangrowth,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-teddiursa,Fighting,Ghost
shadow-tentacruel,"Electric, Ground, Psychic","Bug, Fairy, Fighting, Fire, Ice, Poison, Steel, Water"
shadow-torterra,"Bug, Fire, Flying, Ice","Electric, Ground, Rock"
shadow-totodile,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-toxicroak,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
shadow-tranquill,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-trapinch,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-turtwig,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-typhlosion,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-tyranitar,"Bug, Fairy, Fighting, Grass, Ground, Steel, Water","Dark, Fire, Flying, Ghost, Normal, Poison, Psychic"
shadow-unfezant,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
shadow-ursaluna,"Fighting, Grass, Ice, Water","Electric, Ghost, Poison, Rock"
shadow-ursaring,Fighting,Ghost
shadow-venomoth,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-venonat,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-venusaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-vibrava,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
shadow-victreebel,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-vileplume,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-voltorb,Ground,"Electric, Flying, Steel"
shadow-vulpix,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-wailmer,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-wailord,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-walrein,"Electric, Fighting, Grass, Rock","Ice, Water"
shadow-wartortle,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-watchog,Fighting,Ghost
shadow-weavile,"Bug, Fairy, Fighting, Fire, Rock, Steel","Dark, Ghost, Ice, Psychic"
shadow-weedle,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-weepinbell,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-weezing,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-whiscash,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-whismur,Fighting,Ghost
shadow-wobbuffet,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-wooper,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-xatu,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
shadow-zapdos,"Ice, Rock","Bug, Fighting, Flying, Grass, Ground, Steel"
shadow-zebstrika,Ground,"Electric, Flying, Steel"
shadow-zubat,"Electric, Ice, Psychic, Rock","Bug, Fairy, Fighting, Grass, Ground, Poison"
sharpedo,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
shaymin-land-forme,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shaymin-scarf-pikachu,Ground,"Electric, Flying, Steel"
shaymin-sky-forme,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
shdow-alolan-vulpix,"Fighting, Fire, Rock, Steel",Ice
shedinja,"Dark, Fire, Flying, Ghost, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
shelgon,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
shellder,"Electric, Grass","Fire, Ice, Steel, Water"
shellos-east-sea,"Electric, Grass","Fire, Ice, Steel, Water"
shellos-west-sea,"Electric, Grass","Fire, Ice, Steel, Water"
shelmet,"Fire, Flying, Rock","Fighting, Grass, Ground"
shieldon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shiftry,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
shiinotic,"Fire, Flying, Ice, Poison, Steel","Dark, Dragon, Electric, Fighting, Grass, Ground, Water"
shinx,Ground,"Electric, Flying, Steel"
shroodle,"Ground, Psychic","Bug, Fairy, Ghost, Grass, Poison"
shroomish,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shuckle,"Rock, Steel, Water","Normal, Poison"
shuppet,"Dark, Ghost","Bug, Fighting, Normal, Poison"
sigilyph,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
silcoon,"Fire, Flying, Rock","Fighting, Grass, Ground"
silicobra,"Grass, Ice, Water","Electric, Poison, Rock"
silvally,Fighting,Ghost
simipour,"Electric, Grass","Fire, Ice, Steel, Water"
simisage,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
simisear,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
sinistcha,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
sinistea,"Dark, Ghost","Bug, Fighting, Normal, Poison"
sirfetch-039-d,"Fairy, Flying, Psychic","Bug, Dark, Rock"
sizzlipede,"Flying, Rock, Water","Bug, Fairy, Fighting, Grass, Ice, Steel"
skarmory,"Electric, Fire","Bug, Dragon, Fairy, Flying, Grass, Ground, Normal, Poison, Psychic, Steel"
skeledirge,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
skiddo,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
skiploom,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
skitty,Fighting,Ghost
skorupi,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
skrelp,"Electric, Ground, Psychic","Bug, Fairy, Fighting, Fire, Ice, Poison, Steel, Water"
skuntank,Ground,"Dark, Ghost, Grass, Poison, Psychic"
skwovet,Fighting,Ghost
slaking,Fighting,Ghost
slakoth,Fighting,Ghost
sliggoo,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
slither-wing,"Fairy, Fire, Flying, Psychic","Bug, Dark, Fighting, Grass, Ground"
slowbro,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
slowking,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
slowpoke,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
slugma,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
slurpuff,"Poison, Steel","Bug, Dark, Dragon, Fighting"
smeargle,Fighting,Ghost
smoliv,"Bug, Fighting, Fire, Flying, Ice, Poison","Electric, Ghost, Grass, Ground, Water"
smoochum,"Bug, Dark, Fire, Ghost, Rock, Steel","Ice, Psychic"
sneasel,"Bug, Fairy, Fighting, Fire, Rock, Steel","Dark, Ghost, Ice, Psychic"
sneasler,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
snivy,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
snom,"Fire, Flying, Rock, Steel","Grass, Ground, Ice"
snorlax,Fighting,Ghost
snorunt,"Fighting, Fire, Rock, Steel",Ice
